Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,,,2018-09-30 18:56:33,2018-09-30 18:59:09,"2m - 36,027s",PASSED
,,,,,,
Test Cases/Bookmate/Email login,,Авторизация по почте,2018-09-30 18:56:34,2018-09-30 18:57:25,"50,576s",PASSED
startApplication,,,2018-09-30 18:56:35,2018-09-30 18:56:54,"18,757s",PASSED
tap,,,2018-09-30 18:56:54,2018-09-30 18:56:54,"0,774s",PASSED
tap,,,2018-09-30 18:56:54,2018-09-30 18:56:56,"1,398s",PASSED
tap,,,2018-09-30 18:56:56,2018-09-30 18:56:57,"1,368s",PASSED
tap,,,2018-09-30 18:56:57,2018-09-30 18:56:59,"1,328s",PASSED
tap,,,2018-09-30 18:56:59,2018-09-30 18:57:00,"1,710s",PASSED
setText,,,2018-09-30 18:57:00,2018-09-30 18:57:10,"9,832s",PASSED
tap,,,2018-09-30 18:57:10,2018-09-30 18:57:11,"0,781s",PASSED
setText,,,2018-09-30 18:57:11,2018-09-30 18:57:24,"12,898s",PASSED
tap,,,2018-09-30 18:57:24,2018-09-30 18:57:25,"0,857s",PASSED
,,,,,,
Test Cases/Bookmate/Impression create,,,2018-09-30 18:57:25,2018-09-30 18:58:10,"45,550s",PASSED
startApplication,,,2018-09-30 18:57:25,2018-09-30 18:57:37,"12,022s",PASSED
tapAndHold,,,2018-09-30 18:57:37,2018-09-30 18:57:41,"4,434s",PASSED
tap,,,2018-09-30 18:57:41,2018-09-30 18:57:43,"1,609s",PASSED
tap,,,2018-09-30 18:57:43,2018-09-30 18:57:45,"2,328s",PASSED
setText,,,2018-09-30 18:57:45,2018-09-30 18:57:55,"9,850s",PASSED
tap,,,2018-09-30 18:57:55,2018-09-30 18:57:57,"1,233s",PASSED
tap,,,2018-09-30 18:57:57,2018-09-30 18:57:58,"1,149s",PASSED
tap,,,2018-09-30 18:57:58,2018-09-30 18:57:59,"1,184s",PASSED
pressBack,,,2018-09-30 18:57:59,2018-09-30 18:58:00,"0,857s",PASSED
tap,,,2018-09-30 18:58:00,2018-09-30 18:58:03,"2,868s",PASSED
tap,,,2018-09-30 18:58:03,2018-09-30 18:58:04,"1,102s",PASSED
tap,,,2018-09-30 18:58:04,2018-09-30 18:58:05,"1,294s",PASSED
tap,,,2018-09-30 18:58:05,2018-09-30 18:58:06,"0,952s",PASSED
pressBack,,,2018-09-30 18:58:06,2018-09-30 18:58:07,"0,817s",PASSED
closeApplication,,,2018-09-30 18:58:07,2018-09-30 18:58:10,"3,433s",PASSED
,,,,,,
Test Cases/Bookmate/Quote create,,,2018-09-30 18:58:10,2018-09-30 18:59:09,"59,180s",PASSED
startApplication,,,2018-09-30 18:58:11,2018-09-30 18:58:27,"16,190s",PASSED
tap,,,2018-09-30 18:58:27,2018-09-30 18:58:31,"4,240s",PASSED
tapAndHold,,,2018-09-30 18:58:31,2018-09-30 18:58:48,"16,940s",PASSED
tap,,,2018-09-30 18:58:48,2018-09-30 18:58:50,"1,559s",PASSED
pressBack,,,2018-09-30 18:58:50,2018-09-30 18:58:50,"0,685s",PASSED
tap,,,2018-09-30 18:58:50,2018-09-30 18:58:53,"2,369s",PASSED
tap,,,2018-09-30 18:58:53,2018-09-30 18:59:03,"10,610s",PASSED
tap,,,2018-09-30 18:59:03,2018-09-30 18:59:04,"1,127s",PASSED
tap,,,2018-09-30 18:59:04,2018-09-30 18:59:05,"0,878s",PASSED
pressBack,,,2018-09-30 18:59:05,2018-09-30 18:59:06,"0,971s",PASSED
closeApplication,,,2018-09-30 18:59:06,2018-09-30 18:59:09,"3,197s",PASSED
