Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,,,2018-09-29 19:40:26,2018-09-29 19:43:31,"3m - 5,056s",FAILED
,,,,,,
Test Cases/Bookmate/Email login,,Авторизация по почте,2018-09-29 19:40:27,2018-09-29 19:41:57,"1m - 30,511s",PASSED
startApplication,,,2018-09-29 19:40:28,2018-09-29 19:41:24,"55,630s",PASSED
tap,,,2018-09-29 19:41:24,2018-09-29 19:41:24,"0,820s",PASSED
tap,,,2018-09-29 19:41:24,2018-09-29 19:41:26,"1,330s",PASSED
tap,,,2018-09-29 19:41:26,2018-09-29 19:41:27,"1,316s",PASSED
tap,,,2018-09-29 19:41:27,2018-09-29 19:41:28,"1,517s",PASSED
tap,,,2018-09-29 19:41:28,2018-09-29 19:41:30,"1,601s",PASSED
setText,,,2018-09-29 19:41:30,2018-09-29 19:41:40,"9,923s",PASSED
tap,,,2018-09-29 19:41:40,2018-09-29 19:41:41,"0,767s",PASSED
setText,,,2018-09-29 19:41:41,2018-09-29 19:41:53,"12,197s",PASSED
tap,,,2018-09-29 19:41:53,2018-09-29 19:41:54,"0,822s",PASSED
closeApplication,,,2018-09-29 19:41:54,2018-09-29 19:41:57,"3,552s",PASSED
,,,,,,
Test Cases/Bookmate/Impression create,,,2018-09-29 19:41:57,2018-09-29 19:42:46,"48,830s",FAILED
startApplication,,,2018-09-29 19:41:58,2018-09-29 19:42:14,"16,372s",PASSED
tapAndHold,,,2018-09-29 19:42:14,2018-09-29 19:42:46,"31,974s",FAILED
,,,,,,
Test Cases/Bookmate/Quote create,,,2018-09-29 19:42:46,2018-09-29 19:43:31,"44,821s",PASSED
startApplication,,,2018-09-29 19:42:47,2018-09-29 19:42:58,"11,603s",PASSED
tap,,,2018-09-29 19:42:58,2018-09-29 19:43:03,"4,794s",PASSED
tapAndHold,,,2018-09-29 19:43:03,2018-09-29 19:43:19,"16,449s",PASSED
tap,,,2018-09-29 19:43:19,2018-09-29 19:43:20,"0,642s",PASSED
pressBack,,,2018-09-29 19:43:20,2018-09-29 19:43:21,"0,899s",PASSED
tap,,,2018-09-29 19:43:21,2018-09-29 19:43:23,"1,811s",PASSED
tap,,,2018-09-29 19:43:23,2018-09-29 19:43:24,"1,629s",PASSED
tap,,,2018-09-29 19:43:24,2018-09-29 19:43:26,"1,175s",PASSED
tap,,,2018-09-29 19:43:26,2018-09-29 19:43:27,"0,960s",PASSED
pressBack,,,2018-09-29 19:43:27,2018-09-29 19:43:28,"1,031s",PASSED
closeApplication,,,2018-09-29 19:43:28,2018-09-29 19:43:31,"3,433s",PASSED
