Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,,,2018-09-30 21:22:31,2018-09-30 21:24:47,"2m - 15,436s",PASSED
,,,,,,
Test Cases/Bookmate/Email login,,Авторизация по почте,2018-09-30 21:22:32,2018-09-30 21:23:21,"49,469s",PASSED
startApplication,,,2018-09-30 21:22:32,2018-09-30 21:22:51,"18,685s",PASSED
tap,,,2018-09-30 21:22:51,2018-09-30 21:22:52,"0,752s",PASSED
tap,,,2018-09-30 21:22:52,2018-09-30 21:22:53,"1,377s",PASSED
tap,,,2018-09-30 21:22:53,2018-09-30 21:22:54,"1,336s",PASSED
tap,,,2018-09-30 21:22:54,2018-09-30 21:22:56,"1,396s",PASSED
tap,,,2018-09-30 21:22:56,2018-09-30 21:22:57,"1,632s",PASSED
setText,,,2018-09-30 21:22:57,2018-09-30 21:23:08,"10,107s",PASSED
tap,,,2018-09-30 21:23:08,2018-09-30 21:23:08,"0,821s",PASSED
setText,,,2018-09-30 21:23:08,2018-09-30 21:23:20,"11,984s",PASSED
tap,,,2018-09-30 21:23:20,2018-09-30 21:23:21,"0,838s",PASSED
,,,,,,
Test Cases/Bookmate/Impression create,,,2018-09-30 21:23:21,2018-09-30 21:24:06,"45,250s",PASSED
startApplication,,,2018-09-30 21:23:21,2018-09-30 21:23:34,"12,262s",PASSED
tapAndHold,,,2018-09-30 21:23:34,2018-09-30 21:23:39,"5,177s",PASSED
tap,,,2018-09-30 21:23:39,2018-09-30 21:23:40,"1,234s",PASSED
tap,,,2018-09-30 21:23:40,2018-09-30 21:23:43,"2,390s",PASSED
setText,,,2018-09-30 21:23:43,2018-09-30 21:23:53,"10,742s",PASSED
tap,,,2018-09-30 21:23:53,2018-09-30 21:23:54,"1,228s",PASSED
tap,,,2018-09-30 21:23:54,2018-09-30 21:23:56,"1,247s",PASSED
tap,,,2018-09-30 21:23:56,2018-09-30 21:23:57,"1,116s",PASSED
pressBack,,,2018-09-30 21:23:57,2018-09-30 21:23:58,"1,076s",PASSED
tap,,,2018-09-30 21:23:58,2018-09-30 21:23:59,"1,241s",PASSED
tap,,,2018-09-30 21:23:59,2018-09-30 21:24:00,"0,981s",PASSED
tap,,,2018-09-30 21:24:00,2018-09-30 21:24:01,"1,253s",PASSED
tap,,,2018-09-30 21:24:01,2018-09-30 21:24:02,"0,961s",PASSED
pressBack,,,2018-09-30 21:24:02,2018-09-30 21:24:03,"0,873s",PASSED
closeApplication,,,2018-09-30 21:24:03,2018-09-30 21:24:06,"3,208s",PASSED
,,,,,,
Test Cases/Bookmate/Quote create,,,2018-09-30 21:24:06,2018-09-30 21:24:47,"40,136s",PASSED
startApplication,,,2018-09-30 21:24:07,2018-09-30 21:24:23,"15,982s",PASSED
tap,,,2018-09-30 21:24:23,2018-09-30 21:24:26,"3,721s",PASSED
tapAndHold,,,2018-09-30 21:24:26,2018-09-30 21:24:35,"8,388s",PASSED
tap,,,2018-09-30 21:24:35,2018-09-30 21:24:36,"1,403s",PASSED
pressBack,,,2018-09-30 21:24:36,2018-09-30 21:24:37,"0,620s",PASSED
tap,,,2018-09-30 21:24:37,2018-09-30 21:24:39,"2,097s",PASSED
tap,,,2018-09-30 21:24:39,2018-09-30 21:24:40,"1,379s",PASSED
tap,,,2018-09-30 21:24:40,2018-09-30 21:24:41,"1,192s",PASSED
tap,,,2018-09-30 21:24:41,2018-09-30 21:24:42,"0,908s",PASSED
pressBack,,,2018-09-30 21:24:42,2018-09-30 21:24:43,"0,996s",PASSED
closeApplication,,,2018-09-30 21:24:43,2018-09-30 21:24:47,"3,228s",PASSED
