Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,,,2018-09-29 19:20:05,2018-09-29 19:23:46,"3m - 41,001s",FAILED
,,,,,,
Test Cases/Bookmate/Email login,,Авторизация по почте,2018-09-29 19:20:06,2018-09-29 19:21:17,"1m - 11,112s",FAILED
startApplication,,,2018-09-29 19:20:07,2018-09-29 19:20:25,"18,467s",PASSED
tap,,,2018-09-29 19:20:25,2018-09-29 19:20:32,"7,093s",PASSED
tap,,,2018-09-29 19:20:32,2018-09-29 19:20:36,"3,598s",PASSED
tap,,,2018-09-29 19:20:36,2018-09-29 19:20:40,"3,506s",PASSED
tap,,,2018-09-29 19:20:40,2018-09-29 19:20:43,"3,434s",PASSED
tap,,,2018-09-29 19:20:43,2018-09-29 19:21:17,"34,078s",FAILED
,,,,,,
Test Cases/Bookmate/Impression create,,,2018-09-29 19:21:17,2018-09-29 19:22:59,"1m - 42,152s",FAILED
startApplication,,,2018-09-29 19:21:18,2018-09-29 19:21:29,"11,600s",PASSED
tapAndHold,,,2018-09-29 19:21:29,2018-09-29 19:21:34,"4,849s",PASSED
tap,,,2018-09-29 19:21:34,2018-09-29 19:22:59,"1m - 25,128s",FAILED
,,,,,,
Test Cases/Bookmate/Quote create,,,2018-09-29 19:22:59,2018-09-29 19:23:46,"46,891s",PASSED
startApplication,,,2018-09-29 19:23:00,2018-09-29 19:23:12,"11,905s",PASSED
tap,,,2018-09-29 19:23:12,2018-09-29 19:23:17,"5,152s",PASSED
tapAndHold,,,2018-09-29 19:23:17,2018-09-29 19:23:33,"16,313s",PASSED
tap,,,2018-09-29 19:23:33,2018-09-29 19:23:35,"1,570s",PASSED
pressBack,,,2018-09-29 19:23:35,2018-09-29 19:23:35,"0,712s",PASSED
tap,,,2018-09-29 19:23:35,2018-09-29 19:23:38,"2,303s",PASSED
tap,,,2018-09-29 19:23:38,2018-09-29 19:23:39,"1,528s",PASSED
tap,,,2018-09-29 19:23:39,2018-09-29 19:23:41,"1,211s",PASSED
tap,,,2018-09-29 19:23:41,2018-09-29 19:23:41,"0,919s",PASSED
pressBack,,,2018-09-29 19:23:41,2018-09-29 19:23:43,"1,120s",PASSED
closeApplication,,,2018-09-29 19:23:43,2018-09-29 19:23:46,"3,553s",PASSED
