Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,,,2018-09-29 19:36:36,2018-09-29 19:39:21,"2m - 45,027s",FAILED
,,,,,,
Test Cases/Bookmate/Email login,,Авторизация по почте,2018-09-29 19:36:37,2018-09-29 19:37:46,"1m - 9,232s",FAILED
startApplication,,,2018-09-29 19:36:38,2018-09-29 19:36:56,"17,497s",PASSED
tap,,,2018-09-29 19:36:56,2018-09-29 19:37:02,"6,538s",PASSED
tap,,,2018-09-29 19:37:02,2018-09-29 19:37:05,"3,398s",PASSED
tap,,,2018-09-29 19:37:05,2018-09-29 19:37:09,"3,343s",PASSED
tap,,,2018-09-29 19:37:09,2018-09-29 19:37:12,"3,401s",PASSED
tap,,,2018-09-29 19:37:12,2018-09-29 19:37:46,"34,128s",FAILED
,,,,,,
Test Cases/Bookmate/Impression create,,,2018-09-29 19:37:46,2018-09-29 19:38:32,"45,304s",PASSED
startApplication,,,2018-09-29 19:37:47,2018-09-29 19:37:59,"11,835s",PASSED
tapAndHold,,,2018-09-29 19:37:59,2018-09-29 19:38:03,"3,660s",PASSED
tap,,,2018-09-29 19:38:03,2018-09-29 19:38:04,"1,506s",PASSED
tap,,,2018-09-29 19:38:04,2018-09-29 19:38:07,"2,240s",PASSED
setText,,,2018-09-29 19:38:07,2018-09-29 19:38:18,"10,952s",PASSED
tap,,,2018-09-29 19:38:18,2018-09-29 19:38:19,"1,066s",PASSED
tap,,,2018-09-29 19:38:19,2018-09-29 19:38:20,"1,268s",PASSED
tap,,,2018-09-29 19:38:20,2018-09-29 19:38:21,"1,292s",PASSED
pressBack,,,2018-09-29 19:38:21,2018-09-29 19:38:22,"0,685s",PASSED
tap,,,2018-09-29 19:38:22,2018-09-29 19:38:24,"1,781s",PASSED
tap,,,2018-09-29 19:38:24,2018-09-29 19:38:25,"1,233s",PASSED
tap,,,2018-09-29 19:38:25,2018-09-29 19:38:26,"1,426s",PASSED
tap,,,2018-09-29 19:38:26,2018-09-29 19:38:27,"0,926s",PASSED
pressBack,,,2018-09-29 19:38:27,2018-09-29 19:38:28,"0,925s",PASSED
closeApplication,,,2018-09-29 19:38:28,2018-09-29 19:38:32,"3,452s",PASSED
,,,,,,
Test Cases/Bookmate/Quote create,,,2018-09-29 19:38:32,2018-09-29 19:39:21,"49,688s",PASSED
startApplication,,,2018-09-29 19:38:32,2018-09-29 19:38:48,"15,718s",PASSED
tap,,,2018-09-29 19:38:48,2018-09-29 19:38:53,"4,925s",PASSED
tapAndHold,,,2018-09-29 19:38:53,2018-09-29 19:39:09,"16,377s",PASSED
tap,,,2018-09-29 19:39:09,2018-09-29 19:39:11,"1,518s",PASSED
pressBack,,,2018-09-29 19:39:11,2018-09-29 19:39:11,"0,648s",PASSED
tap,,,2018-09-29 19:39:11,2018-09-29 19:39:13,"2,142s",PASSED
tap,,,2018-09-29 19:39:13,2018-09-29 19:39:15,"1,634s",PASSED
tap,,,2018-09-29 19:39:15,2018-09-29 19:39:16,"1,128s",PASSED
tap,,,2018-09-29 19:39:16,2018-09-29 19:39:17,"0,944s",PASSED
pressBack,,,2018-09-29 19:39:17,2018-09-29 19:39:18,"0,985s",PASSED
closeApplication,,,2018-09-29 19:39:18,2018-09-29 19:39:21,"3,215s",PASSED
